,artists_id,artist_name,artist_followers,artists_popularity,artists_genre
381,6vXTefBL93Dj5IqAWq6OTv,French Montana,5128450,72,"hip hop,pop rap,rap,southern hip hop,trap"
382,2qxJFvFYMEDqd7ui6kSAcq,Zedd,5973814,72,"complextro,edm,german techno,pop,pop dance"
383,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,2290391,68,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
384,5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,3627828,69,"hip hop,pop rap,rap,southern hip hop,trap"
385,5y2Xq6xcjJb2jVM54GHK3t,John Legend,6539182,73,"neo soul,pop,pop soul,urban contemporary"
386,0U7iI0Dk4Ojvi17nZboNO4,Vacations,667594,70,newcastle nsw indie
387,4hz8tIajF2INpgM0qzPJz2,Rainbow Kitten Surprise,987235,67,pov: indie
388,4NZvixzsSefsNiIqXn0NDe,Maggie Rogers,969468,67,indie pop
389,12vb80Km0Ew53ABfJOepVz,Ñengo Flow,4710205,78,"reggaeton,trap latino,urbano latino"
390,4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet,2394179,68,"modern blues rock,modern hard rock,rock"
391,1Qp56T7n950O3EGMsSl81D,Ghost,2574363,73,"hard rock,metal"
392,5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,6161106,76,"anime,k-pop boy group"
393,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,9475483,74,dance pop
394,4frXpPxQQZwbCu3eTGnZEw,Thundercat,1153331,70,"afrofuturism,indie soul"
395,0ChjBYedhZTQnWZWQYg15U,Bryan Martin,84022,66,modern country pop
396,67nwj3Y5sZQLl72VNUHEYE,Wale,4138996,67,"pop rap,r&b,rap,southern hip hop,trap"
397,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,10137507,73,"canadian pop,candy pop,pop"
398,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,8339272,72,"alternative metal,alternative rock,classic rock,grunge,permanent wave,rock"
399,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,4758570,70,"album rock,alternative metal,glam metal,hard rock,metal,rock,sleaze rock"
400,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,2823719,69,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop"
401,6p2HnfM955TI1bX34dkLnI,The Backseat Lovers,501244,65,"pov: indie,slc indie"
402,3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,2056973,66,"drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop"
403,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,22620777,75,"pop,uk pop"
404,47zz7sob9NUcODy0BTDvKx,Sade,3364855,72,"british soul,sophisti-pop"
405,485uL27bPomh29R4JmQehQ,Bob Seger,2135943,66,"album rock,classic rock,country rock,detroit rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
406,0647ep4AirMtU3Iq9YcBXm,cade clair,60153,70,
407,7d3WFRME3vBY2cgoP38RDo,Lil Skies,4991837,67,melodic rap
408,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,4164109,69,"alternative metal,nu metal,post-grunge,rock"
409,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,5117999,68,"r&b,rap,uk contemporary r&b"
410,6GI52t8N5F02MxU0g5U69P,Santana,3107473,71,"blues rock,classic rock,mexican classic rock"
411,6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,2828570,66,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock"
412,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,5013592,72,pop
413,0fiWOxhsBsQQvFDtxUQWo0,Brett Young,1008239,66,"contemporary country,country,country road"
414,3XxNRirzbjfLdDli06zMaB,Eyedress,1323413,69,noise pop
415,0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,7117531,74,"gruperas inmortales,musica mexicana,nu-cumbia,ranchera,tropical"
416,3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,224098,67,"broadway,show tunes,vocal jazz"
417,26T4yOaOoFJvUvxR87Y9HO,Bethel Music,1597151,67,"ambient worship,ccm,deep ccm,world worship,worship"
418,70kkdajctXSbqSMJbQO424,Kacey Musgraves,1228721,65,"classic texas country,contemporary country,country dawn"
419,57DlMWmbVIf2ssJ8QBpBau,Toby Fox,1056978,69,"indie game soundtrack,otacore,pixel,pov: indie"
420,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,9135639,74,"latin pop,modern salsa,salsa,tropical"
421,3vDpQbGnzRbRVirXlfQagB,Sturgill Simpson,761370,64,"alternative americana,kentucky roots,nashville singer-songwriter,new americana,outlaw country"
422,25IG9fa7cbdmCIy3OnuH57,The Chicks,1393171,66,"contemporary country,country,country dawn"
423,2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band,1909617,64,"jam band,neo mellow,pop rock"
424,39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,2327145,67,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock"
425,2jSGzJw0ebJLu7OLVSOcBP,Plan B,3244870,77,"reggaeton,trap latino,urbano latino"
426,7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,274699,72,indie r&b
427,4lxfqrEsLX6N1N4OCSkILp,Phil Collins,5293208,73,"rock drums,soft rock"
428,0WK3H9OErSn5zKOkOV5egm,DDG,1102892,66,pop rap
429,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,3897452,69,"alternative rock,blues rock,garage rock,indie rock,indietronica,modern blues rock,modern rock,punk blues,rock,roots rock"
430,1ybINI1qPiFbwDXamRtwxD,Smino,826339,65,alternative r&b
431,34b7j3TqM5ramjmt2mc8tB,Chill Fruits Music,89117,69,"lo-fi cover,lo-fi product"
432,6Wr3hh341P84m3EI8qdn9O,Rise Against,2651635,69,"alternative metal,chicago hardcore,chicago punk,hardcore punk,modern rock,pop punk,post-grunge,punk"
433,5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,831023,67,"bedroom pop,bedroom soul"
434,6CwfuxIqcltXDGjfZsMd9A,MARINA,4797743,70,"metropopolis,pop,pov: indie,uk alternative pop"
435,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,11281378,75,"dance pop,latin pop,mexican pop"
436,3ApUX1o6oSz321MMECyIYd,Quinn XCII,766403,64,indie pop rap
437,7kplJl06UmldxLKseURAYi,Warren Zeiders,416855,65,modern country pop
438,1tG7s7S4sq2eFFW0QZyLbm,Sheff G,909034,67,"brooklyn drill,new york drill,nyc rap"
439,2W6WP4pHQTFlbr2z9S4n54,Kordhell,843978,75,drift phonk
440,6MxlVTY6PmY8Nyn16fvxtb,Slightly Stoopid,694861,64,"reggae fusion,reggae rock"
441,3ppQEG71r7jVpI8RudzycF,OHGEESY,245944,65,cali rap
